title,genres
a man and a woman,"{'religion', 'self-help', 'psychology', 'philosophy', 'fiction', 'science', 'non-fiction', 'unfinished', 'theology', 'spirituality'}"
troubles of married life,"{'romance', 'education', 'history', 'classics', 'novella', 'novels', 'literature', 'fiction', '20th-century', 'relationships', 'humor'}"
fray luis de len,"{'classics', 'poetry', '20th-century', 'fiction'}"
miss mcdonald,"{'romance', 'drama', 'classics'}"
ibong adarna,"{'history', 'classics', 'comics', 'fantasy', 'childrens', 'poetry'}"
the facts of reconstruction,{'history'}
cratylus,"{'history', 'classics', 'philosophy', 'fiction', 'literature', 'non-fiction'}"
the treasury of ancient egypt,"{'historical-fiction', 'history'}"
dido queene of carthage,"{'romance', 'history', 'classics', 'mythology', 'literature', 'fiction', 'historical-fiction', '20th-century', 'school', 'drama', 'poetry', 'plays', 'lgbt'}"
the gunbrand,{'classics'}
essays on art,"{'education', 'history', 'writing', 'reference', 'fiction', 'adult-fiction', 'essays', 'non-fiction', 'american', 'art'}"
in the shadow of the glen,"{'history', 'classics', 'high-school', 'literature', 'fiction', 'historical-fiction', 'school', 'non-fiction', 'drama', 'plays', 'college'}"
roman mosaics,"{'classics', 'history', 'roman', 'art'}"
letters of browning,{'non-fiction'}
in indian mexico ,{'classics'}
his life,"{'contemporary', 'literary-fiction', 'animals', 'family', 'fiction', 'historical-fiction', 'adult-fiction', 'adult', 'relationships', 'coming-of-age', 'american', 'historical'}"
a little rebel,"{'fiction', 'novels'}"
king olafs kinsman,"{'historical-fiction', 'non-fiction'}"
one third off,"{'american', 'humor'}"
lion and unicorn,"{'fantasy', 'short-stories', 'fiction', 'childrens', 'theology'}"
the physiology of marriage,"{'romance', 'literary-fiction', 'classics', 'self-help', 'psychology', 'philosophy', 'fiction', 'love', '20th-century', 'essays', 'literature', 'science', 'non-fiction'}"
analytical studies,"{'music', 'non-fiction'}"
miss or mrs,"{'romance', 'adventure', 'literary-fiction', 'crime', 'mystery', 'classics', 'suspense', 'novella', 'historical-romance', 'mystery-thriller', 'fiction', '20th-century', 'thriller', 'humor'}"
la chasse galerie,{'novels'}
fjalar kuningas,"{'read-for-school', 'poetry'}"
vkevin,"{'romance', 'contemporary', 'novels', 'fiction', 'young-adult'}"
as farpas chronica mensal,"{'literature', 'classics', 'humor'}"
jack sheppard,"{'romance', 'crime', 'history', 'classics', 'novels', 'fiction', 'historical-fiction', '20th-century', 'economics', 'read-for-school', 'plays'}"
the law and the lady,"{'crime', 'mystery', 'classics', 'suspense', 'mystery-thriller', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'thriller', 'historical'}"
rambles in the mammoth cave,"{'adventure', 'history', 'travel', 'fiction', 'non-fiction', 'theology'}"
the spirit of youth and the,"{'high-school', 'fiction', 'non-fiction', 'unfinished', 'american'}"
lukemisia lapsille ,"{'childrens', 'reference'}"
the poems of henry van dyke,"{'poetry', '20th-century'}"
the new magdalen,"{'mystery', 'classics', 'historical-romance', 'mystery-thriller', 'literature', 'fiction', 'historical-fiction', '20th-century', 'read-for-school'}"
fat and blood,"{'read-for-school', 'fiction', 'school'}"
introduction  ltude de la,"{'history', 'philosophy', 'unfinished', 'essays', 'science', 'non-fiction', 'read-for-school'}"
jane eyre,"{'romance', 'literary-fiction', 'historical-fiction', 'love', 'historical', 'mystery', 'high-school', 'novels', 'literature', 'fiction', '20th-century', 'school', 'adult', 'read-for-school', 'feminism', 'classics', 'historical-romance', 'adult-fiction', 'drama', 'coming-of-age'}"
le dernier des mohicans,"{'adventure', 'history', 'roman', 'classics', 'comics', 'literature', 'graphic-novels', 'historical-fiction', 'war', 'art'}"
colomba,"{'contemporary', 'literary-fiction', 'roman', 'mystery', 'classics', 'amazon', 'fiction', 'literature'}"
the two destinies,"{'romance', 'mystery', 'classics', 'fiction', 'historical-fiction', '20th-century', 'non-fiction', 'drama', 'historical'}"
barbaras heritage,"{'romance', 'christian', 'history', 'biography', 'novella', 'historical-romance', 'amazon', 'historical-fiction', 'non-fiction', 'historical'}"
a very pleasaunt  fruitful,"{'classics', 'christian', 'non-fiction'}"
famous stories every child,"{'classics', 'short-stories', 'fiction', 'childrens', 'young-adult', 'historical'}"
the opera,"{'crime', 'historical', 'classics', 'literature', 'fiction', 'read-for-school', '20th-century', 'comedy', 'school', 'music', 'drama', 'poetry', 'adult', 'plays', 'college', 'humor'}"
bought and paid for,"{'romance', 'contemporary', 'erotica', 'novella', 'chick-lit', 'short-stories', 'fiction', 'contemporary-romance', 'adult', 'new-adult'}"
the frozen deep,"{'adventure', 'mystery', 'classics', 'novella', 'literature', 'fiction', 'historical-fiction', '20th-century', 'short-stories', 'drama', 'plays'}"
tristan and isolda,"{'romance', 'classics', 'family', 'fantasy', 'literature', 'fiction', 'read-for-school', 'war', 'realistic-fiction', 'music', 'drama', 'poetry', 'plays', 'art'}"
a book for kids,"{'picture-books', 'classics', 'fiction', '20th-century', 'childrens', 'school', 'poetry'}"
jan,"{'romance', 'literary-fiction', 'historical-fiction', 'love', 'historical', 'mystery', 'high-school', 'novels', 'literature', 'fiction', '20th-century', 'school', 'adult', 'read-for-school', 'feminism', 'classics', 'historical-romance', 'adult-fiction', 'drama', 'coming-of-age'}"
madge morton,{'historical-fiction'}
dickey downy,"{'unfinished', 'classics'}"
the psychology of management,"{'psychology', 'non-fiction'}"
the turtles of tasman,"{'adventure', 'classics', 'short-stories', 'fiction', '20th-century', 'theology', 'american'}"
after dark,"{'contemporary', 'literary-fiction', '21st-century', 'drama', 'mystery', 'novella', 'fantasy', 'novels', 'literature', 'fiction', 'adult-fiction', 'adult', 'unfinished'}"
some chinese ghosts,"{'horror', 'history', 'classics', 'fantasy', 'mythology', 'literature', 'short-stories', 'fiction', 'paranormal', 'politics', 'childrens', 'thriller', 'speculative-fiction', 'supernatural'}"
nathan viisas,"{'history', 'drama', 'classics', 'religion', 'novels', 'literature', 'fiction', 'philosophy', '20th-century', 'historical-fiction', 'school', 'read-for-school', 'poetry', 'plays'}"
riley songs of home,{'poetry'}
the gamester ,"{'romance', 'historical-romance', 'historical-fiction', 'contemporary-romance', 'historical'}"
the evil genius,"{'romance', 'mystery', 'classics', 'historical-romance', 'family', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'thriller', 'read-for-school'}"
mr william shakespear,"{'romance', 'historical', 'classics', 'fantasy', 'literature', 'fiction', 'read-for-school', '20th-century', 'comedy', 'school', 'adult', 'drama', 'poetry', 'plays', 'college'}"
the power of faith,"{'christian', 'biography', 'classics', 'self-help', 'non-fiction', 'spirituality'}"
my ladys money,"{'romance', 'mystery', 'classics', 'historical-romance', 'mystery-thriller', 'novels', 'fiction', 'adult-fiction', '20th-century', 'historical-fiction', 'non-fiction', 'humor'}"
idolatry,"{'romance', 'history', 'science-fiction', 'fantasy', 'novels', 'speculative-fiction', 'magic', 'historical', 'lgbt'}"
the way of salvation in the,"{'theology', 'religion', 'christian', 'fiction'}"
lucrezia floriani,"{'romance', 'literary-fiction', 'feminism', 'classics', 'literature', 'fiction', 'love', '20th-century', 'adult-fiction', 'non-fiction', 'relationships', 'historical', 'college'}"
oddsfish,"{'fiction', 'historical-fiction', 'humor'}"
i say no,"{'romance', 'mystery', 'classics', 'historical-romance', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'short-stories', 'non-fiction'}"
the bible book by book,"{'fiction', 'religion', 'spirituality', 'reference'}"
the story of the other wise man,"{'historical-fiction', 'spirituality', 'historical', 'high-school', 'fantasy', 'novels', 'literature', 'fiction', 'philosophy', '20th-century', 'childrens', 'adult', 'american', 'christian', 'christmas', 'classics', 'religion', 'short-stories', 'adult-fiction', 'picture-books', 'realistic-fiction'}"
sketches from my life,"{'war', 'history', 'fantasy'}"
historic tales vol  of ,{'historical'}
a critical essay,"{'contemporary', 'history', 'religion', 'philosophy', 'fiction', 'politics', 'essays', 'school', 'non-fiction'}"
flower fables,"{'classics', 'science-fiction', 'fantasy', 'fiction', 'short-stories', 'historical-fiction', 'childrens', 'american', 'historical'}"
little novels,"{'romance', 'horror', 'crime', 'mystery', 'classics', 'historical-romance', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'historical'}"
the history of emily montague,"{'romance', '21st-century', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'non-fiction', 'read-for-school'}"
guy rivers a tale of georgia,"{'literature', 'fiction', 'historical-fiction', 'history'}"
der heizer,"{'classics', 'suspense', 'travel', 'novels', 'literature', 'short-stories', 'graphic-novels', 'fiction'}"
paradoxes of catholicism,"{'christian', 'roman', 'classics', 'religion', 'amazon', 'fiction', 'philosophy', 'non-fiction', 'theology'}"
the art of public speaking,"{'education', 'classics', 'self-help', 'psychology', 'reference', 'fiction', 'non-fiction', 'unfinished', 'business'}"
a book of scoundrels,"{'classics', 'fiction', 'non-fiction'}"
the women of the caesars,"{'fiction', '20th-century', 'history', 'historical'}"
at home and abroad,"{'travel', 'fiction', 'essays', 'music', 'non-fiction', 'adult', 'humor'}"
beowulf,"{'adventure', 'middle-grade', 'literary-fiction', 'horror', 'classics', 'high-school', 'mythology', 'novels', 'fiction', 'historical-fiction', 'adult-fiction', 'literature', 'adult', 'read-for-school', 'historical', 'college'}"
the other girls,"{'horror', 'history', 'mystery', 'mystery-thriller', 'fiction', 'historical-fiction', 'thriller', 'adult', 'drama', 'historical'}"
a short life of abraham lincoln,"{'history', 'biography', 'historical', 'fiction', 'politics', 'american', 'plays'}"
koti,"{'literary-fiction', 'novella', 'family', 'historical-fiction', 'historical', 'contemporary', 'roman', 'novels', 'literature', 'fiction', 'school', 'adult', 'read-for-school', 'american', 'classics', 'adult-fiction', 'war', 'realistic-fiction', 'drama'}"
pour la patrie,"{'literary-fiction', 'historical-fiction'}"
the passenger from calais,"{'romance', 'adventure', 'mystery', 'classics', 'mystery-thriller', 'novels', 'fiction', '20th-century'}"
the foolish virgin,"{'romance', 'fiction', 'realistic-fiction'}"
a cynic looks at life,"{'classics', 'religion', 'novels', 'philosophy', 'fiction', 'historical-fiction', 'politics', 'essays', 'literature', 'non-fiction', 'poetry', 'american', 'humor'}"
miscellanea,"{'philosophy', 'politics', 'spirituality'}"
ion,"{'romance', 'drama', 'roman', 'classics', 'high-school', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'unfinished', 'school', 'read-for-school'}"
curiosities of literature ,"{'literary-fiction', 'history', 'writing', 'reference', 'literature', 'fiction', 'adult-fiction', 'essays', 'non-fiction', 'humor'}"
phaedrus,"{'history', 'classics', 'mythology', 'philosophy', 'fiction', 'literature', 'love', 'school', 'non-fiction', 'read-for-school', 'poetry', 'plays', 'college'}"
the glugs of gosh,"{'classics', 'science-fiction', 'literature', 'comedy', 'poetry'}"
bluebell,"{'short-stories', 'middle-grade', 'childrens', 'fantasy'}"
fortuna,"{'romance', 'contemporary', 'chick-lit', 'novels', 'fiction', 'historical-fiction', 'adult-fiction', 'contemporary-romance', 'non-fiction'}"
mrs red pepper,"{'fiction', 'american'}"
the kings achievement,"{'biography', 'classics', 'religion', 'literature', 'fiction', 'historical-fiction', 'spirituality', 'historical'}"
brownings shorter poems,"{'classics', 'poetry', '20th-century', 'fiction'}"
the odds,"{'contemporary', 'romance', 'adventure', 'high-school', 'science-fiction', 'fantasy', 'fiction', 'realistic-fiction', 'young-adult', 'non-fiction', 'magic', 'coming-of-age'}"
dotty dimple out west,{'fiction'}
o mandarim,"{'romance', 'literary-fiction', 'adventure', 'classics', 'fantasy', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'historical-fiction', 'paranormal'}"
history of rome,"{'romance', 'history', 'roman', 'classics', 'historical-romance', 'fiction', 'historical-fiction', 'politics', 'non-fiction', 'historical'}"
eve and david,"{'romance', 'classics', 'fiction', 'historical-fiction', '20th-century'}"
set tuomon tupa,"{'literary-fiction', 'history', 'historical-fiction', 'historical', 'college', 'high-school', 'novels', 'literature', 'fiction', '20th-century', 'school', 'adult', 'read-for-school', 'unfinished', 'american', 'christian', 'classics', 'adult-fiction', 'politics', 'young-adult', 'drama'}"
tuomo sedn tupa,"{'literary-fiction', 'history', 'historical-fiction', 'historical', 'college', 'high-school', 'novels', 'literature', 'fiction', '20th-century', 'school', 'adult', 'read-for-school', 'unfinished', 'american', 'christian', 'classics', 'adult-fiction', 'politics', 'young-adult', 'drama'}"
 leagues under the sea,"{'adventure', 'classics', 'science-fiction', 'fantasy', 'fiction', 'childrens', 'young-adult', 'science'}"
lilith,"{'romance', 'mythology', 'speculative-fiction', 'theology', 'spirituality', 'horror', 'fantasy', 'novels', 'literature', 'fiction', 'philosophy', '20th-century', 'adult', 'unfinished', 'christian', 'classics', 'religion', 'adult-fiction', 'science-fiction', 'supernatural'}"
the  works  of  john dryden,"{'classics', 'reference', 'fiction', 'historical-fiction', 'essays', 'non-fiction', 'poetry', 'plays'}"
led astray and the sphinx,"{'literature', 'fiction'}"
the lesser bourgeoisie,"{'romance', 'literary-fiction', 'classics', 'science-fiction', 'novels', 'literature', 'fiction', '20th-century'}"
arroz y tartana,"{'classics', 'novels', 'fiction', 'non-fiction', 'drama', 'historical'}"
euthyphro,"{'education', 'plays', 'history', 'classics', 'religion', 'philosophy', 'fiction', 'literature', '20th-century', 'school', 'non-fiction', 'read-for-school', 'theology', 'historical', 'college'}"
the arte of english poesie,"{'classics', 'politics', '20th-century', 'essays', 'non-fiction', 'poetry'}"
os fidalgos da casa mourisca,"{'romance', 'writing', 'classics', 'historical-romance', 'literature', 'fiction'}"
contos para a infncia,{'short-stories'}
meno,"{'education', 'plays', 'history', 'classics', 'high-school', 'philosophy', 'fiction', 'literature', 'school', 'non-fiction', 'read-for-school', 'historical', 'college'}"
richard wagner,"{'biography', 'music', 'non-fiction'}"
the gay cockade,"{'classics', 'short-stories', 'fiction'}"
poems every child should know,"{'romance', 'adventure', 'education', 'classics', 'family', 'fiction', 'historical-fiction', 'childrens', 'young-adult', 'poetry'}"
the children of france,"{'contemporary', 'comics', 'fantasy', 'short-stories', 'childrens', 'dystopia', 'young-adult', 'contemporary-romance', 'urban-fantasy'}"
de re coquinaria,"{'history', 'roman', 'cookbooks', 'classics', 'reference', 'literature', 'fiction', 'non-fiction'}"
the adventures of gerard,"{'adventure', 'literary-fiction', 'mystery', 'classics', 'comics', 'novels', 'amazon', 'fiction', 'historical-fiction', 'short-stories', '20th-century', 'war', 'historical', 'humor'}"
the closet of sir kenelm,"{'history', 'classics', 'cookbooks', 'reference', '20th-century', 'non-fiction'}"
observations and reflections,"{'history', 'biography', 'classics', 'travel', '20th-century', 'non-fiction', 'american'}"
the clarion,{'short-stories'}
jewels story book,{'childrens'}
the reminiscences of an,{'non-fiction'}
the iliad of homer,"{'history', 'classics', 'mythology', 'literature', 'fiction', 'philosophy', 'war', 'non-fiction', 'poetry', 'historical', 'art'}"
the measure of a man,"{'christian', 'history', 'biography', 'sociology', 'classics', 'religion', 'philosophy', 'fiction', 'politics', 'essays', 'non-fiction', 'theology', 'spirituality'}"
all around the moon,"{'romance', 'adventure', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'science', 'speculative-fiction'}"
the princess pocahontas,"{'history', 'classics', 'fiction', '20th-century', 'non-fiction'}"
musical memories,"{'biography', 'memoir', 'music', 'non-fiction'}"
in the shadow of death,"{'mystery', 'suspense', 'mystery-thriller', 'fiction', 'historical-fiction'}"
musicians of today,"{'romance', 'history', 'music', 'non-fiction', 'art'}"
the pot of gold,"{'literary-fiction', 'roman', 'classics', 'literature', 'fiction', 'comedy', 'read-for-school', 'school', 'drama', 'plays', 'humor'}"
the profits of religion,"{'history', 'classics', 'religion', 'philosophy', 'fiction', 'politics', '20th-century', 'memoir', 'non-fiction', 'economics', 'american'}"
lectures and essays,"{'philosophy', 'unfinished', 'essays', 'non-fiction'}"
the rover boys on land and sea,"{'classics', 'fiction', 'childrens', 'education'}"
florence,"{'contemporary', 'literary-fiction', 'history', 'feminism', 'family', 'novels', 'literature', 'fiction', 'adult-fiction', 'unfinished', 'adult', 'non-fiction', 'relationships', 'american'}"
juanita la larga,"{'classics', 'novella', 'fiction', 'graphic-novels', 'historical'}"
journey through france,"{'romance', 'fiction'}"
the story of the living machine,{'science'}
ferragus,{'classics'}
kuningas lear,"{'literary-fiction', 'historical', 'classics', 'high-school', 'family', 'novels', 'literature', 'fiction', 'read-for-school', 'historical-fiction', '20th-century', 'adult-fiction', 'school', 'adult', 'drama', 'poetry', 'plays', 'college'}"
chronicles  of  the,"{'romance', 'adventure', 'suspense', 'dystopia', 'contemporary', 'horror', 'mystery', 'fantasy', 'novels', 'magic', 'fiction', 'adult', 'paranormal', 'adult-fiction', 'urban-fantasy', 'science-fiction', 'thriller', 'drama', 'supernatural', 'paranormal-romance'}"
the moon out of reach,{'fiction'}
henriette,"{'contemporary', 'fiction', 'adult-fiction', '20th-century', 'childrens', 'young-adult'}"
mcteague,"{'literary-fiction', 'crime', 'drama', 'classics', 'high-school', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'school', 'adult', 'read-for-school', 'american', 'historical', 'college'}"
more translations from the chinese,{'poetry'}
the witness,"{'romance', 'contemporary', 'crime', 'mystery', 'suspense', 'action', 'chick-lit', 'mystery-thriller', 'novels', 'fiction', 'romantic-suspense', 'adult-fiction', 'thriller', 'contemporary-romance', 'adult', 'drama'}"
another world,"{'contemporary', 'literary-fiction', 'family', 'novels', 'literature', 'fiction', 'historical-fiction', 'war', '20th-century', 'non-fiction', 'relationships', 'historical'}"
renaissance in italy,"{'education', 'history', 'reference', 'business', 'fiction', 'historical-fiction', '20th-century', 'school', 'non-fiction', 'unfinished', 'historical', 'art'}"
the voice of the people,"{'historical-romance', 'novels', 'literature', 'fiction', 'graphic-novels', 'historical-fiction'}"
epistle to a friend,"{'history', 'non-fiction', 'historical', 'college', 'art', 'reference', 'novels', 'literature', 'philosophy', 'fiction', '20th-century', 'essays', 'school', 'read-for-school', 'christian', 'classics', 'religion', 'politics', 'poetry'}"
lazy thoughts of a lazy girl,"{'classics', 'novels', 'fiction', '20th-century', 'music', 'non-fiction', 'unfinished', 'humor'}"
american men of action,{'non-fiction'}
essays on education,"{'education', 'christian', 'religion', 'philosophy', 'non-fiction', 'theology'}"
liza of lambeth,"{'romance', 'literary-fiction', 'classics', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'love', 'adult', 'drama'}"
fanny goes to war,"{'history', 'fiction', 'war', 'memoir', 'read-for-school'}"
the fat of the land,"{'short-stories', 'poetry', 'fiction'}"
morocco,"{'adventure', 'literary-fiction', 'history', 'biography', 'classics', 'travel', 'fiction', 'short-stories', '20th-century', 'memoir', 'non-fiction', 'unfinished', 'american', 'historical'}"
fortyone years in india,"{'historical-fiction', 'history', 'memoir'}"
the ridin kid from powder river,"{'classics', 'fiction'}"
the plastic age,"{'literary-fiction', 'novels', 'fiction', 'historical-fiction', '20th-century', 'college', 'young-adult', 'school', 'new-adult'}"
myth and romance,"{'history', 'reference', 'mythology', 'fiction', 'non-fiction', 'theology'}"
hero tales of the rhine,"{'classics', 'travel', 'fantasy', 'mythology', 'short-stories', 'fiction', '20th-century', 'historical-fiction'}"
an unsocial socialist,"{'romance', 'literary-fiction', 'biography', 'classics', 'modern', 'novels', 'philosophy', 'fiction', 'politics', '20th-century', 'literature', 'music', 'non-fiction'}"
melchiors dream and other tales,{'fiction'}
imperialism and the,"{'history', 'politics', 'economics', 'non-fiction'}"
trekkerswee,{'poetry'}
life of lord byron vol iii,"{'history', 'biography', 'memoir'}"
life of lord byron vol iv,"{'history', 'biography', 'memoir'}"
short story classics,"{'classics', 'short-stories', 'horror'}"
apology,"{'education', 'history', 'biography', 'classics', 'philosophy', 'fiction', 'politics', 'literature', 'short-stories', 'school', 'non-fiction', 'read-for-school', 'historical', 'college'}"
the diving bell,"{'fiction', 'historical-fiction', 'adult-fiction', 'childrens', 'young-adult', 'relationships', 'american', 'historical'}"
encomium artis medicae,{'non-fiction'}
lewis and clark i,"{'education', 'history', 'biography', 'fiction', 'adult', 'non-fiction', 'unfinished', 'american', 'historical'}"
point lace and diamonds,{'poetry'}
life of lord byron vol ii,"{'history', 'biography', 'memoir'}"
the twins,"{'romance', 'literary-fiction', 'suspense', 'family', 'love', 'contemporary', 'mystery', 'mystery-thriller', 'novels', 'amazon', 'fiction', 'literature', 'adult', 'adult-fiction', 'relationships', 'chick-lit', 'realistic-fiction', 'thriller', 'drama', 'coming-of-age'}"
the kipling reader,"{'classics', 'animals', 'fiction', 'short-stories', 'historical-fiction', 'childrens', 'young-adult'}"
on the art of reading,"{'education', 'classics', 'reference', 'literature', 'fiction', 'short-stories', 'philosophy', 'essays', 'non-fiction'}"
phaedo,"{'history', 'biography', 'classics', 'religion', 'death', 'philosophy', 'fiction', 'literature', 'school', 'non-fiction', 'read-for-school', 'historical', 'college'}"
the life of jesus,"{'christian', 'biography', 'religion', 'self-help', 'adult-fiction', 'fiction', 'non-fiction', 'theology', 'spirituality'}"
the yoke,"{'romance', 'history', 'drama', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'war', 'school', 'adult', 'read-for-school', 'historical'}"
historical tales vol  of ,{'history'}
over the top,"{'self-help', 'psychology', 'fiction', 'non-fiction', 'business'}"
the killer,"{'suspense', 'psychology', 'love', 'non-fiction', 'contemporary', 'horror', 'mystery', 'mystery-thriller', 'novels', 'literature', 'fiction', '20th-century', 'adult', 'american', 'crime', 'classics', 'adult-fiction', 'dark', 'thriller', 'drama'}"
the girl with the golden eyes,"{'romance', 'literary-fiction', 'drama', 'roman', 'classics', 'novella', 'science-fiction', 'novels', 'literature', 'fiction', 'short-stories', '20th-century', 'historical-fiction', 'comedy', 'school', 'realistic-fiction', 'read-for-school', 'lgbt'}"
unity of good,"{'religion', 'spirituality'}"
general science,"{'science', 'reference', 'school', 'non-fiction'}"
charles dickens and music,{'music'}
summer,"{'contemporary', 'romance', 'crime', 'mystery', 'suspense', 'chick-lit', 'mystery-thriller', 'novels', 'fiction', 'adult-fiction', 'realistic-fiction', 'thriller', 'unfinished', 'adult', 'non-fiction', 'drama'}"
scenes from a courtesans life,"{'romance', 'literary-fiction', 'education', 'roman', 'erotica', 'classics', 'science-fiction', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult', 'drama', 'historical'}"
the deathwake,"{'romance', 'paranormal', 'fiction', 'new-adult', 'paranormal-romance'}"
naval operations,"{'literary-fiction', 'history', 'reference', 'science', 'non-fiction'}"
ladysmith,"{'literary-fiction', 'history', 'science-fiction', 'literature', 'fiction', 'historical-fiction', 'war', 'historical'}"
poison island,"{'adventure', 'middle-grade', 'literature', 'fiction', 'childrens', 'young-adult', 'non-fiction'}"
by still waters,"{'romance', 'contemporary', 'literary-fiction', 'crime', 'mystery', 'suspense', 'action', 'mystery-thriller', 'novels', 'fiction', 'romantic-suspense', 'thriller', 'contemporary-romance', 'adult'}"
the nuts of knowledge,"{'poetry', '20th-century'}"
ojennusnuora,"{'history', 'classics', 'self-help', 'psychology', 'reference', 'philosophy', 'fiction', 'literature', 'essays', 'non-fiction', 'spirituality', 'historical', 'college'}"
letters of a woman homesteader,"{'adventure', 'history', 'biography', 'feminism', 'classics', 'fiction', 'historical-fiction', '20th-century', 'memoir', 'adult', 'non-fiction', 'american', 'historical'}"
libro de buen amor,"{'romance', 'middle-grade', 'classics', 'religion', 'novella', 'literature', 'fiction', 'historical-fiction', '20th-century', 'school', 'read-for-school', 'poetry', 'college', 'humor'}"
letters to helen,{'dystopia'}
chronica de elrei d pedro i,"{'middle-grade', 'history'}"
the climbers,"{'contemporary', 'literary-fiction', 'mystery', 'science-fiction', 'fiction', 'adult-fiction', 'adult', 'unfinished'}"
golden days,"{'novels', 'literature', 'fiction', '20th-century', 'dystopia', 'speculative-fiction', 'american'}"
the fotygraft album,{'humor'}
essays,"{'romance', 'history', 'biography', 'psychology', 'non-fiction', 'theology', 'historical', 'college', 'reference', 'philosophy', 'fiction', 'literature', '20th-century', 'essays', 'school', 'unfinished', 'classics', 'short-stories', 'politics', 'writing', 'memoir'}"
the puritan twins,"{'science-fiction', 'fiction', 'historical-fiction', 'childrens'}"
the letters of elizabeth,"{'20th-century', 'college', 'non-fiction'}"
an outline of the relations,"{'history', 'historical'}"
la pantoufle de sapho,"{'short-stories', 'fiction'}"
the complete home,"{'cookbooks', 'fiction', 'non-fiction'}"
myths of babylonia and assyria,"{'history', 'classics', 'religion', 'reference', 'mythology', 'amazon', 'fiction', '20th-century', 'non-fiction', 'theology'}"
the book of missionary heroes,"{'christian', 'biography', 'classics', 'religion', 'fiction', 'childrens', 'non-fiction', 'theology', 'spirituality'}"
translations of shakuntala,"{'classics', 'religion', 'family', 'literature', 'fiction', 'read-for-school', '20th-century', 'drama', 'poetry', 'plays'}"
the golden asse,"{'adventure', 'history', 'mythology', 'historical-fiction', 'comedy', 'historical', 'college', 'roman', 'fantasy', 'novels', 'literature', 'fiction', 'philosophy', 'school', 'read-for-school', 'humor', 'classics', 'religion', 'magic', 'poetry'}"
the story of the th,"{'education', 'history', 'classics', 'reference', 'philosophy', 'fiction', '20th-century', 'science', 'school', 'non-fiction', 'historical', 'art'}"
town life in australia,"{'history', 'non-fiction'}"
catilina,"{'historical', 'classics', 'fiction', 'historical-fiction', '20th-century', 'school', 'drama', 'plays'}"
young folks history of rome,"{'fiction', '20th-century', 'history'}"
my aunt margarets mirror,"{'classics', 'paranormal', 'literature', 'fiction', 'short-stories', 'historical-fiction', '20th-century'}"
la catedral,"{'middle-grade', 'horror', 'teen', 'mystery', 'novella', 'fantasy', 'novels', 'historical-fiction', 'young-adult', 'school', 'historical'}"
the chink in the armour,"{'adventure', 'mystery', 'classics', 'novella', 'mystery-thriller', 'literature', '20th-century', 'historical'}"
the history of england,"{'history', 'biography', 'classics', 'literature', 'fiction', 'historical-fiction', 'short-stories', '20th-century', 'comedy', 'adult', 'non-fiction', 'politics', 'young-adult', 'historical', 'humor'}"
the tapestried chamber,"{'theology', 'horror'}"
sattumuksia jnislahdella,{'non-fiction'}
beyond the rocks,"{'romance', 'fiction', 'historical-romance', 'classics'}"
vuonna ,"{'speculative-fiction', 'literary-fiction', 'classics', 'science-fiction', 'high-school', 'fantasy', 'novels', 'literature', 'fiction', 'politics', 'philosophy', '20th-century', 'dystopia', 'school', 'adult', 'read-for-school', 'adult-fiction'}"
the small catechism,"{'christian', 'history', 'classics', 'religion', 'reference', 'philosophy', 'fiction', 'non-fiction', 'theology', 'spirituality', 'historical'}"
the ancient church,"{'theology', 'history'}"
a wanderer in venice,"{'history', 'biography', 'classics', 'travel', 'fiction', 'essays', 'memoir', 'non-fiction', 'humor'}"
kuolleet omenapuut,"{'classics', 'novella', 'fiction', 'short-stories', 'adult'}"
when a man marries,"{'romance', 'mystery', 'classics', 'novella', 'historical-romance', 'mystery-thriller', 'novels', 'fiction', 'comedy', '20th-century', 'historical-fiction', 'thriller', 'american', 'historical', 'humor'}"
les deux gentilshommes de vrone,"{'classics', 'drama', 'school'}"
amusements in mathematics,"{'classics', 'science-fiction', 'reference', 'novels', 'amazon', 'fiction', 'science', 'non-fiction'}"
gorgias,"{'education', 'history', 'classics', 'philosophy', 'fiction', 'politics', 'literature', 'school', 'non-fiction', 'read-for-school', 'historical', 'college'}"
americans and others,"{'literary-fiction', 'science-fiction', 'fantasy', 'short-stories', 'historical-fiction', 'adult-fiction', 'fiction', 'speculative-fiction'}"
four weird tales,"{'horror', 'classics', 'fantasy', 'paranormal', 'amazon', 'short-stories', 'fiction', '20th-century', 'theology', 'spirituality', 'supernatural'}"
lesser hippias,"{'history', 'classics', 'philosophy', 'fiction', '20th-century', 'essays', 'non-fiction'}"
